country,iso3,population,areaSqKm,popDensity,roadsMappedKm,geofabrikExtract,popPerExtract,areaPerExtract,buildingsMapped,popPerBuilding,numHotTasks
Afghanistan ,AFG,31056997,647500,47.96,113991.5768,22.9,1356200.742,28275.10917,87457,355.1116206,4
Albania ,ALB,3581655,28748,124.59,28320.7744,17.1,209453.5088,1681.169591,56682,63.18857838,1
Algeria ,DZA,32930091,2381740,13.83,184843.39,52.1,632055.4894,45714.77927,206433,159.51951,0
American Samoa ,ASM,57794,199,290.42,352.017072,0.00019455,297065692.9,1022875.608,1551,37.26241135,0
Andorra ,AND,71201,468,152.14,380.7843459,1.3,54770,360,1696,41.9817217,0
Angola ,AGO,12127071,1246700,9.73,69122.1388,8.8,1378076.25,141670.4545,13917,871.3854279,0
Anguilla ,AIA,13477,102,132.13,360.3608074,0.280273438,48085.18467,363.9303136,5229,2.577357047,0
Antigua & Barbuda ,ATG,69108,443,156,1380.047506,0.587890625,117552.4784,753.5415282,4284,16.13165266,0
Argentina ,ARG,39921833,2766890,14.43,620373.9842,114,350191.5175,24270.96491,98637,404.7348662,2
Armenia ,ARM,2976372,29800,99.88,32779.75756,11.1,268141.6216,2684.684685,122842,24.22927012,0
Atarctica,ATA,135,14000000,0.000000964,1984.442728,28.9,4.671280277,484429.0657,0,0,0
Aruba ,ABW,71891,193,372.49,1170.489054,1.4,51350.71429,137.8571429,6128,11.73156005,0
Australia ,AUS,20264082,7686850,2.64,938575.2012,266,76180.7594,28897.93233,669627,30.26174572,0
Austria ,AUT,8192880,83870,97.69,325203.3745,457,17927.52735,183.5229759,2839707,2.885114556,0
Azerbaijan ,AZE,7961619,86600,91.94,52165.85996,13.5,589749.5556,6414.814815,39978,199.1500075,0
Azores,0,245746,2333,105.33,0,4.3,57150.23256,542.5581395,2082,118.0336215,0
"Bahamas, The ",BHS,303770,13940,21.79,6738.871527,2.7,112507.4074,5162.962963,9535,31.85841636,0
Bahrain ,BHR,698585,665,1050.5,3610.902775,0.834960938,836667.883,796.4444444,993,703.509567,0
Bangladesh ,BGD,147365352,144000,1023.37,35459.95655,18.1,8141732.155,7955.801105,170791,862.8402668,28
Barbados ,BRB,279912,431,649.45,2229.863846,0.768554688,364205.7027,560.7928844,4240,66.01698113,0
Belarus ,BLR,10293011,207600,49.58,208180.9635,138,74587.03623,1504.347826,1203657,8.551448627,0
Belgium ,BEL,10379067,30528,339.99,139822.9348,251,41350.86454,121.625498,2097886,4.947393233,0
Belize ,BLZ,287730,22966,12.53,8276.034601,2.6,110665.3846,8833.076923,17557,16.38833514,3
Benin ,BEN,7862944,112620,69.82,36330.83253,12.6,624043.1746,8938.095238,207366,37.91819295,18
Bermuda ,BMU,65773,53,1241,567.6553969,0.31,212170.9677,170.9677419,3086,21.31335062,0
Bhutan ,BTN,2279723,47000,48.5,4358.404298,3.5,651349.4286,13428.57143,9109,250.2714897,1
Bolivia ,BOL,8989046,1098580,8.18,176629.392,49.2,182704.187,22328.86179,42569,211.1641335,4
Bosnia & Herzegovina ,BIH,4498976,51129,87.99,49774.61388,56,80338.85714,913.0178571,195622,22.99831307,1
Botswana ,BWA,1639833,600370,2.73,81513.71435,18.4,89121.3587,32628.80435,255074,6.428852019,51
Brazil ,BRA,188078227,8511965,22.1,1366371.454,339,554803.0295,25109.0413,432469,434.8941242,3
British Indian Ocean Territory,IOT,3000,54400,0.06,106.4539517,0,0,0,0,0,0
British Virgin Is. ,VGB,23098,153,150.97,0,0.171875,134388.3636,890.1818182,978,23.61758691,0
Brunei ,BRN,379444,5770,65.76,2565.464383,0.87890625,431722.9511,6564.977778,4614,82.23753793,0
Bulgaria ,BGR,7385367,110910,66.59,112660.683,61,121071.5902,1818.196721,225929,32.68888456,0
Burkina Faso ,BFA,13902972,274200,50.7,52303.57153,17.3,803640,15849.71098,144347,96.31632109,22
Burma (Myanmar),MMR,47382633,678500,69.83,81069.6665,27.9,1698302.258,24318.99642,235217,201.4422129,4
Burundi ,BDI,8090068,27830,290.7,20771.97938,8.3,974706.988,3353.012048,69436,116.511147,17
Cambodia ,KHM,13881427,181040,76.68,47173.32783,9.2,1508850.761,19678.26087,7753,1790.45879,0
Cameroon ,CMR,17340702,475440,36.47,108418.4073,102.2,169674.1879,4652.054795,1645450,10.53857729,44
Canada ,CAN,33098932,9984670,3.31,1222843.335,2150.4,15391.98847,4643.168713,1286926,25.7193747,0
Canary Islands,0,2117519,7493,282.6,0,28.8,73524.96528,260.1736111,5735,369.2273758,0
Capo Verde ,CPV,420979,4033,104.38,3687.17385,2.5,168391.6,1613.2,5394,78.04579162,0
Cayman Islands ,CYM,45436,262,173.42,980.5483185,0.5,90872,524,7085,6.41298518,0
Central African Rep. ,CAF,4303356,622984,6.91,37323.67306,21.2,202988.4906,29386.03774,432299,9.95458236,67
Chad ,TCD,9944201,1284000,7.74,38248.4878,9.9,1004464.747,129696.9697,105113,94.60486334,20
Chile ,CHL,16134219,756950,21.31,177941.1962,92,175371.9457,8227.717391,183345,87.99923096,8
China ,CHN,1313973713,9596960,136.92,1634533.579,256,5132709.816,37488.125,421803,3115.136007,10
Christmas Island,CXR,2072,135,15.35,136.4326773,0,0,0,616,3.363636364,0
Cocos (Keeling) Islands,CCK,596,14,42.57,37.80712948,0,0,0,0,0,0
Colombia ,COL,43593035,1138910,38.28,166501.2065,79,551810.5696,14416.58228,303993,143.4014435,8
Comoros ,COM,690948,2170,318.41,1386.852633,0.61,1132701.639,3557.377049,8507,81.22111203,0
"Congo, Dem. Rep. ",COD,62660551,2345410,26.72,216227.6681,66.1,947965.9758,35482.7534,1012066,61.91350268,106
"Congo, Repub. of the ",COG,3702314,342000,10.83,33639.86638,3.7,1000625.405,92432.43243,7228,512.2183177,2
Cook Islands ,COK,21388,240,89.12,421.6761148,0.000195503,109399724.3,1227601.171,602,35.5282392,0
Costa Rica ,CRI,4075261,51100,79.75,34575.26002,11.1,367140.6306,4603.603604,37635,108.283805,0
Cote d'Ivoire (Ivory Coast),CIV,17654843,322460,54.75,66816.76546,13.6,1298150.221,23710.29412,95023,185.7954706,14
Croatia ,HRV,4494749,56542,79.49,92706.60936,80,56184.3625,706.775,398213,11.28729851,3
Cuba ,CUB,11382820,110860,102.68,84155.03609,18.7,608706.9519,5928.342246,53430,213.0417369,0
Cyprus ,CYP,784301,9250,84.79,21480.57384,0.00019646,3992166344,47083375.75,14504,54.07480695,0
Czech Republic ,CZE,10235455,78866,129.78,217975.2238,621,16482.21417,126.9983897,4195166,2.439821213,0
Denmark ,DNK,5450661,43094,126.48,139784.0756,198,27528.59091,217.6464646,797840,6.831772034,0
Djibouti ,DJI,486530,23000,21.15,3444.270798,0.64,760203.125,35937.5,5922,82.15636609,0
Dominica ,DMA,68910,754,91.39,1374.752069,1.5,45940,502.6666667,30297,2.274482622,1
Dominican Republic ,DOM,9183984,48730,188.47,38349.90139,9.7,946802.4742,5023.71134,44799,205.0042188,1
East Timor ,0,1062777,15007,70.82,0,0,0,0,13113,81.04758636,0
Ecuador ,ECU,13547510,283560,47.78,90172.96226,46.4,291972.1983,6111.206897,395542,34.25049679,21
Egypt ,EGY,78887007,1001450,78.77,101700.4661,29,2720241.621,34532.75862,46782,1686.268372,0
El Salvador ,SLV,6822378,21040,324.26,21548.28554,7,974625.4286,3005.714286,7091,962.1178959,2
Equatorial Guinea ,GNQ,540109,28051,19.25,7949.948959,0.75,720145.3333,37401.33333,2306,234.2189939,1
Eritrea ,ERI,4786994,121320,39.46,6416.37626,1.3,3682303.077,93323.07692,5401,886.3162377,0
Estonia ,EST,1324333,45226,29.28,56213.0759,61,21710.37705,741.4098361,675323,1.961036423,0
Ethiopia ,ETH,74777981,1127127,66.34,109765.2742,20,3738899.05,56356.35,96169,777.5684576,10
Falkland Islands (Malvinas),FLK,2932,12200,0.24,1897.087214,0.944335938,3104.827301,12919.13133,2647,1.107669059,0
Faroe Islands ,FRO,47246,1399,33.77,1024.651397,1.2,39371.66667,1165.833333,677,69.7872969,0
Fiji ,FJI,905949,18270,49.59,5706.36805,5.8,156198.1034,3150,0,0,24
Finland ,FIN,5231372,338145,15.47,305321.1438,231,22646.63203,1463.831169,881719,5.933151038,0
France ,FRA,60876136,547030,111.28,1686688.258,3276.8,18577.92236,166.9403076,44503935,1.367882099,0
French Guiana ,GUF,199509,91000,2.19,4237.767358,6.9,28914.34783,13188.4058,54364,3.669873446,0
French Polynesia ,PYF,274578,4167,65.89,2720.440443,0.000196457,1397650005,21210758.21,1375,199.6930909,0
French Southern Territories,ATF,0,439781,0,52.64364501,0,0,0,117,0,0
Gabon ,GAB,1424906,267667,5.32,50455.81661,4.4,323842.2727,60833.40909,2726,522.7094644,0
GCC states,0,50761260,2673108,18.99,0,50,1015225.2,53462.16,105164,482.6866608,0
"Gambia, The ",GMB,1641564,11300,145.27,6825.188112,2.7,607986.6667,4185.185185,26334,62.33629528,4
Gaza Strip ,0,1428757,360,3968.77,0,0,0,0,169410,8.433722921,0
Georgia ,GEO,4661473,69700,66.88,68855.07371,36.4,128062.4451,1914.835165,103699,44.95195711,0
Germany ,DEU,82422299,357021,230.86,1735080.833,2764.8,29811.30606,129.1308594,24228269,3.40190622,0
Ghana ,GHA,22409572,239460,93.58,58498.7739,8,2801196.5,29932.5,36865,607.8820562,5
Gibraltar ,GIB,27928,7,3989.71,96.89065467,0.21386719,130585.7154,32.73059322,1224,22.81699346,0
Greece ,GRC,10688058,131940,81.01,255824.896,122,87607.03279,1081.47541,222654,48.00299119,0
Greenland ,GRL,56361,2166086,0.03,751.5969466,11.8,4776.355932,183566.6102,13871,4.063225434,0
Grenada ,GRD,89703,344,260.76,1004.50658,0.400390625,224038.7122,859.1609756,1721,52.12260314,0
Guadeloupe ,GLP,452776,1780,254.37,5733.920972,16,28298.5,111.25,302361,1.497468258,0
Guam ,GUM,171019,541,316.12,0,1.2,142515.8333,450.8333333,15647,10.9298268,0
Guatemala ,GTM,12293545,108890,112.9,31396.95901,10.1,1217182.673,10781.18812,24432,503.1739113,2
Guernsey ,GGY,65409,78,838.58,0,418kb,0,0,473,138.2854123,0
Guinea ,GIN,9690222,245857,39.41,74783.63067,40.1,241651.4214,6131.097257,447787,21.6402486,43
Guinea-Bissau ,GNB,1442029,36120,39.92,6010.873835,4.9,294291.6327,7371.428571,37230,38.73298415,0
Guyana ,GUY,767245,214970,3.57,5120.392489,3.1,247498.3871,69345.16129,49430,15.52184908,4
Haiti ,HTI,8308504,27750,299.41,23831.04999,26,319557.8462,1067.307692,330166,25.16462628,32
Haiti and Dominican Republic,0,17492488,76480,228.72,62180.9514,37.1,471495.6334,2061.455526,374965,46.65098876,0
Holy See,VAT,0,0,0,20.2135831,0.08105469,0,0,0,0,0
Honduras ,HND,7326496,112090,65.36,24834.57304,9.1,805109.4505,12317.58242,40795,179.5929893,11
Hong Kong ,HKG,6940432,1092,6355.71,5261.552169,7.8,889798.9744,140,26199,264.9120959,0
Hungary ,HUN,9981334,93030,107.29,209886.6438,112,89119.05357,830.625,643935,15.50053033,0
Iceland ,ISL,299388,103000,2.91,22863.96237,18.6,16096.12903,5537.634409,83311,3.59361909,0
India ,IND,1095351995,3287590,333.18,1060548.099,365,3000964.37,9007.09589,4447175,246.3028765,20
Indonesia ,IDN,245452739,1919440,127.88,296339.5914,211,1163283.123,9096.872038,4343500,56.51035778,91
Iran ,IRN,68688433,1648000,41.68,276132.4372,53,1296008.17,31094.33962,118702,578.6628111,2
Iraq ,IRQ,26783383,437072,61.28,88135.31827,19.4,1380586.753,22529.48454,42126,635.7922186,3
Ireland ,IRL,4062235,70280,57.8,126869.6431,121,33572.19008,580.8264463,337693,12.02937283,1
Isle of Man ,IMN,75441,572,131.89,0,2.2,34291.36364,260,10664,7.074362341,0
Israel ,ISR,6352117,20770,305.83,51551.34911,35.4,179438.3333,586.7231638,212447,29.89977265,2
